player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality,player_origin,seasons_played,composite_score
David Roddy,PHX,65,8.7,0.484,18.1,0.004,-5.0,-0.9,2023-24,1631223,18.1,104.3,113.6,USA,USA,2,0.304
Davion Mitchell,SAC,75,10.8,0.489,20.6,0.003,-3.8,-0.9,2021-22,1630558,27.7,105.3,111.3,USA,USA,3,0.2988
Davion Mitchell,SAC,80,9.4,0.545,14.1,0.05,-2.8,-0.3,2022-23,1630558,18.1,114.4,111.8,USA,USA,3,0.3634
Davion Mitchell,SAC,72,9.3,0.555,14.9,0.059,-3.4,-0.4,2023-24,1630558,15.3,109.5,112.1,USA,USA,3,0.3513
DeAaron Fox,SAC,59,17.4,0.549,29.1,0.058,-0.6,0.7,2021-22,1628368,35.3,112.1,116.5,USA,USA,3,0.5127
DeAaron Fox,SAC,73,21.8,0.599,30.1,0.146,2.5,2.7,2022-23,1628368,33.4,119.9,116.8,USA,USA,3,0.6405
DeAaron Fox,SAC,74,20.1,0.567,31.0,0.117,2.7,3.2,2023-24,1628368,35.9,116.6,112.3,USA,USA,3,0.5457
DeAndre Hunter,ATL,53,10.6,0.547,19.9,0.034,-3.9,-0.8,2021-22,1629631,29.8,114.6,113.9,USA,USA,3,0.405
DeAndre Hunter,ATL,67,11.5,0.563,19.7,0.057,-3.3,-0.7,2022-23,1629631,31.7,114.9,115.5,USA,USA,3,0.4462
DeAndre Hunter,ATL,57,12.7,0.595,20.6,0.062,-2.4,-0.2,2023-24,1629631,29.5,116.7,117.9,USA,USA,3,0.514
DeAnthony Melton,MEM,73,15.2,0.529,21.3,0.107,1.9,1.6,2021-22,1629001,22.7,112.0,106.4,USA,USA,2,0.3649
DeAnthony Melton,PHI,77,12.7,0.566,16.4,0.095,0.9,1.6,2022-23,1629001,27.9,115.5,112.8,USA,USA,2,0.4488
DeMar DeRozan,CHI,76,23.1,0.59,31.8,0.154,2.5,3.1,2021-22,201942,36.1,113.1,112.0,USA,USA,3,0.5563
DeMar DeRozan,CHI,74,20.6,0.592,27.8,0.153,2.0,2.6,2022-23,201942,36.2,112.2,110.7,USA,USA,3,0.5082
DeMar DeRozan,CHI,79,19.7,0.584,25.8,0.147,1.8,2.8,2023-24,201942,37.8,113.5,114.6,USA,USA,3,0.5527
Dean Wade,CLE,51,10.1,0.584,11.1,0.111,-0.6,0.4,2021-22,1629731,19.2,105.8,103.8,USA,USA,3,0.2546
Dean Wade,CLE,44,8.5,0.55,10.2,0.097,-0.7,0.3,2022-23,1629731,20.3,109.7,103.2,USA,USA,3,0.238
Dean Wade,CLE,54,10.2,0.598,10.5,0.11,0.1,0.6,2023-24,1629731,20.5,111.9,103.5,USA,USA,3,0.2855
Deandre Ayton,PHX,58,21.9,0.656,21.4,0.203,2.8,2.1,2021-22,1629028,29.5,117.2,107.7,Bahamas,International,3,0.5111
Deandre Ayton,PHX,67,19.9,0.617,22.9,0.147,0.9,1.5,2022-23,1629028,30.4,113.2,113.2,Bahamas,International,3,0.5231
Deandre Ayton,POR,55,18.9,0.587,21.1,0.106,0.3,1.0,2023-24,1629028,32.4,106.6,115.3,Bahamas,International,3,0.4823
Dejounte Murray,SAS,68,22.3,0.533,27.3,0.149,5.4,4.4,2021-22,1627749,34.8,112.9,111.0,USA,USA,3,0.5203
Dejounte Murray,ATL,74,17.0,0.54,24.4,0.084,1.0,2.1,2022-23,1627749,36.4,114.3,115.4,USA,USA,3,0.5101
Dejounte Murray,ATL,78,17.7,0.555,26.6,0.084,1.7,2.6,2023-24,1627749,35.7,116.8,119.5,USA,USA,3,0.5985
