player,headshot_url,flag_url
Dereon Seabron,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dereon_seabron.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Derrick Jones Jr,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/derrick_jones_jr.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Derrick Rose,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/derrick_rose.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Derrick White,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/derrick_white.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Desmond Bane,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/desmond_bane.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Devin Booker,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/devin_booker.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Devin Vassell,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/devin_vassell.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Devonte Graham,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/devonte_graham.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dillon Brooks,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dillon_brooks.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Domantas Sabonis,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/domantas_sabonis.png,https://www.worldometers.info//img/flags/small/tn_lh-flag.gif
Dominick Barlow,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dominick_barlow.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Donovan Mitchell,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/donovan_mitchell.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Donte DiVincenzo,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/donte_divincenzo.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dorian FinneySmith,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dorian_finneysmith.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Doug McDermott,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/doug_mcdermott.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Draymond Green,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/draymond_green.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Drew Eubanks,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/drew_eubanks.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dru Smith,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dru_smith.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Duncan Robinson,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/duncan_robinson.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dwight Powell,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dwight_powell.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
