player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality
Caleb Houstan,ORL,51.0,6.2,0.508,11.0,0.039,-4.0,-0.4,2022-23,1631216.0,15.9,107.6,112.9,Canada
Caleb Houstan,ORL,59.0,8.3,0.582,12.5,0.089,-1.9,0.0,2023-24,1631216.0,13.8,109.4,111.2,Canada
Caleb Martin,MIA,60.0,14.8,0.611,16.3,0.139,1.1,1.1,2021-22,1628997.0,22.9,111.8,106.2,USA
Caleb Martin,MIA,71.0,11.4,0.571,14.4,0.086,-1.2,0.4,2022-23,1628997.0,29.3,110.7,110.7,USA
Caleb Martin,MIA,64.0,10.8,0.531,17.3,0.066,-2.0,0.0,2023-24,1628997.0,27.4,113.0,111.1,USA
Cam Reddish,NYK,49.0,12.8,0.543,22.2,0.046,-1.3,0.2,2021-22,1629629.0,20.7,103.2,113.0,USA
Cam Reddish,POR,40.0,10.6,0.561,17.1,0.046,-3.4,-0.4,2022-23,1629629.0,24.7,108.9,117.8,USA
Cam Reddish,LAL,48.0,7.7,0.504,12.7,0.03,-3.2,-0.3,2023-24,1629629.0,20.5,109.7,112.5,USA
Cam Thomas,BKN,67.0,11.7,0.519,22.1,0.033,-3.4,-0.4,2021-22,1630560.0,17.6,106.3,112.7,Japan
Cam Thomas,BKN,57.0,14.7,0.567,27.8,0.049,-2.7,-0.2,2022-23,1630560.0,16.6,112.1,113.7,Japan
Cam Thomas,BKN,66.0,16.1,0.554,30.5,0.058,-1.2,0.4,2023-24,1630560.0,31.4,111.5,116.7,Japan
Cameron Johnson,PHX,66.0,15.2,0.625,17.5,0.156,2.7,2.1,2021-22,1629661.0,26.2,110.8,104.6,USA
Cameron Johnson,BKN,42.0,17.1,0.617,20.6,0.142,2.6,1.4,2022-23,1629661.0,28.6,115.3,108.7,USA
Cameron Johnson,BKN,58.0,14.5,0.582,19.6,0.1,0.4,1.0,2023-24,1629661.0,27.6,111.5,114.9,USA
Cameron Payne,PHX,58.0,13.8,0.5,24.6,0.073,0.0,0.7,2021-22,1626166.0,22.0,109.1,102.7,USA
Cameron Payne,PHX,48.0,13.2,0.512,24.8,0.053,-1.2,0.2,2022-23,1626166.0,20.2,115.4,111.4,USA
Cameron Payne,PHI,78.0,12.8,0.566,19.1,0.089,-1.1,0.3,2023-24,1626166.0,16.7,112.4,113.2,USA
Caris LeVert,CLE,58.0,15.1,0.525,25.4,0.059,-1.2,0.4,2021-22,1627747.0,30.7,112.7,114.5,USA
Caris LeVert,CLE,74.0,12.4,0.546,18.7,0.095,-0.2,1.0,2022-23,1627747.0,30.2,113.0,108.5,USA
Caris LeVert,CLE,68.0,14.6,0.524,23.1,0.088,0.2,1.1,2023-24,1627747.0,28.8,113.9,111.2,USA
Carlik Jones,DEN,5.0,-1.8,0.202,25.1,-0.285,-15.5,-0.1,2021-22,1630637.0,4.7,88.7,121.8,USA
Carlik Jones,CHI,7.0,11.1,0.54,16.2,0.078,-2.5,0.0,2022-23,1630637.0,8.0,114.0,93.3,USA
Cedi Osman,CLE,66.0,13.3,0.563,21.1,0.094,0.2,0.8,2021-22,1626224.0,22.1,107.5,109.2,Turkey
Cedi Osman,CLE,77.0,12.0,0.579,18.2,0.103,-0.7,0.5,2022-23,1626224.0,20.1,115.4,108.0,Turkey
Cedi Osman,SAS,72.0,11.2,0.601,15.1,0.071,-2.1,0.0,2023-24,1626224.0,17.6,106.0,119.2,Turkey
Charles Bassey,PHI,23.0,21.5,0.66,16.1,0.22,1.7,0.2,2021-22,1629646.0,7.3,98.6,107.4,Nigeria
Charles Bassey,SAS,35.0,18.8,0.658,15.6,0.122,0.7,0.3,2022-23,1629646.0,14.5,109.1,111.5,Nigeria
Charles Bassey,SAS,19.0,17.7,0.739,11.9,0.157,1.3,0.2,2023-24,1629646.0,10.8,105.1,116.7,Nigeria
Charlie Brown Jr,PHI,22.0,6.5,0.346,12.3,0.012,-4.8,-0.1,2021-22,1629718.0,8.1,99.7,103.4,USA
Charlie Brown Jr,NYK,8.0,-3.2,0.3,14.0,-0.124,-13.6,-0.1,2023-24,1629718.0,4.7,104.1,105.1,USA
Chimezie Metu,SAC,60.0,13.4,0.546,18.5,0.056,-1.5,0.2,2021-22,1629002.0,21.3,106.1,111.8,USA
Chimezie Metu,SAC,66.0,17.3,0.639,17.6,0.143,-0.1,0.3,2022-23,1629002.0,10.4,113.9,107.3,USA
Chimezie Metu,DET,51.0,13.3,0.61,16.2,0.085,-1.3,0.2,2023-24,1629002.0,16.8,105.5,112.0,USA
Chris Boucher,TOR,80.0,17.9,0.57,17.8,0.169,0.1,0.9,2021-22,1628449.0,21.1,111.0,105.7,Saint Lucia
Chris Boucher,TOR,76.0,18.0,0.59,18.0,0.156,-0.1,0.7,2022-23,1628449.0,20.0,110.4,111.6,Saint Lucia
Chris Boucher,TOR,50.0,16.0,0.625,17.3,0.119,-1.7,0.1,2023-24,1628449.0,14.1,116.0,113.6,Saint Lucia
Chris Duarte,IND,55.0,12.3,0.537,21.1,0.029,-2.3,-0.1,2021-22,1630537.0,28.0,107.6,109.7,Dominican Republic
Chris Duarte,IND,46.0,8.6,0.496,19.0,-0.003,-4.5,-0.6,2022-23,1630537.0,19.5,109.4,115.6,Dominican Republic
Chris Duarte,SAC,59.0,8.4,0.512,14.9,0.047,-3.4,-0.2,2023-24,1630537.0,12.2,110.4,113.5,Dominican Republic
Chris Paul,PHX,65.0,20.8,0.581,19.7,0.21,5.4,4.0,2021-22,101108.0,32.9,115.6,105.5,USA
Chris Paul,PHX,59.0,17.7,0.555,19.2,0.156,3.2,2.5,2022-23,101108.0,32.0,114.9,112.5,USA
Chris Paul,GSW,58.0,14.7,0.544,15.6,0.136,1.0,1.2,2023-24,101108.0,26.4,113.7,111.0,USA
Chris Silva,MIA,10.0,11.6,0.641,13.8,0.137,-4.9,-0.1,2021-22,1629735.0,9.1,101.5,117.6,Gabon
Chris Silva,DAL,1.0,-2.2,1.0,30.1,-0.26,-22.6,0.0,2022-23,1629735.0,3.0,100.0,87.5,Gabon
Christian Braun,DEN,76.0,10.3,0.568,13.0,0.079,-2.4,-0.1,2022-23,1631128.0,15.5,107.0,111.3,USA
Christian Braun,DEN,82.0,12.1,0.554,15.7,0.1,-1.9,0.0,2023-24,1631128.0,20.2,110.0,109.3,USA
Christian Wood,HOU,68.0,19.1,0.595,23.3,0.112,1.6,1.9,2021-22,1626174.0,30.8,106.6,115.7,USA
Christian Wood,DAL,67.0,20.6,0.624,26.4,0.132,1.7,1.6,2022-23,1626174.0,25.9,115.4,116.7,USA
Christian Wood,LAL,50.0,12.3,0.568,17.6,0.064,-2.8,-0.2,2023-24,1626174.0,17.4,109.9,109.9,USA
